Ticket Class,Sex,Adult or Child,Number,Survival
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
3rd,male,Child,1,Died
3rd,female,Adult,1,Survived
2nd,female,Child,1,Survived
3rd,female,Child,1,Survived
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Child,1,Died
2nd,female,Adult,1,Survived
3rd,male,Child,1,Died
2nd,male,Unknown,1,Survived
3rd,female,Adult,1,Died
3rd,female,Unknown,1,Survived
2nd,male,Adult,1,Died
2nd,male,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Child,1,Died
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
3rd,female,Unknown,1,Survived
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
1st,female,Unknown,1,Survived
3rd,female,Unknown,1,Survived
2nd,male,Adult,1,Died
1st,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,female,Child,1,Survived
3rd,female,Adult,1,Died
2nd,female,Adult,1,Died
3rd,male,Unknown,1,Died
2nd,female,Child,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
3rd,female,Unknown,1,Survived
3rd,male,Unknown,1,Died
3rd,female,Adult,1,Died
3rd,male,Child,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
1st,male,Unknown,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,female,Child,1,Survived
3rd,male,Child,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Child,1,Died
1st,male,Unknown,1,Died
3rd,male,Unknown,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
2nd,male,Child,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,female,Unknown,1,Survived
1st,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
1st,male,Adult,1,Survived
2nd,female,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Survived
1st,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Child,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Child,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
3rd,female,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Unknown,1,Died
3rd,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,female,Child,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Child,1,Died
3rd,male,Child,1,Survived
1st,female,Unknown,1,Survived
3rd,female,Adult,1,Died
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Child,1,Died
3rd,female,Child,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Died
2nd,male,Unknown,1,Died
3rd,male,Child,1,Died
2nd,male,Child,1,Survived
3rd,female,Child,1,Survived
1st,male,Unknown,1,Died
3rd,female,Unknown,1,Survived
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,female,Adult,1,Survived
2nd,male,Child,1,Survived
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Survived
2nd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,female,Child,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,male,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Child,1,Survived
2nd,male,Adult,1,Died
3rd,female,Unknown,1,Died
2nd,male,Adult,1,Died
2nd,female,Child,1,Survived
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Unknown,1,Died
3rd,female,Unknown,1,Survived
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,female,Adult,1,Survived
1st,female,Unknown,1,Survived
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Child,1,Survived
1st,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Unknown,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
1st,male,Unknown,1,Died
3rd,male,Adult,1,Survived
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,female,Unknown,1,Survived
1st,female,Adult,1,Survived
3rd,female,Adult,1,Died
2nd,male,Unknown,1,Died
3rd,male,Child,1,Died
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Child,1,Died
1st,male,Unknown,1,Survived
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Survived
3rd,male,Unknown,1,Survived
3rd,male,Adult,1,Died
2nd,female,Unknown,1,Survived
3rd,male,Unknown,1,Died
1st,male,Child,1,Survived
1st,female,Unknown,1,Survived
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
2nd,female,Adult,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Survived
1st,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Unknown,1,Survived
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Survived
1st,male,Adult,1,Died
2nd,male,Child,1,Survived
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,female,Unknown,1,Survived
3rd,male,Child,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
2nd,female,Adult,1,Died
3rd,female,Unknown,1,Survived
3rd,female,Unknown,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Survived
3rd,female,Unknown,1,Survived
1st,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Child,1,Died
1st,female,Unknown,1,Survived
3rd,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Child,1,Survived
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
2nd,male,Adult,1,Died
3rd,male,Child,1,Died
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,male,Child,1,Survived
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Died
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
2nd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
3rd,female,Unknown,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,female,Child,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Unknown,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
1st,female,Child,1,Survived
3rd,female,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Survived
1st,male,Child,1,Survived
2nd,female,Child,1,Survived
1st,male,Adult,1,Survived
3rd,female,Child,1,Survived
1st,male,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
1st,male,Adult,1,Died
1st,female,Unknown,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Unknown,1,Died
1st,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Child,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,female,Adult,1,Died
1st,male,Unknown,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Child,1,Survived
3rd,male,Child,1,Died
2nd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Unknown,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Child,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,female,Unknown,1,Died
3rd,female,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,male,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Child,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Survived
3rd,female,Adult,1,Died
2nd,female,Child,1,Survived
1st,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,female,Child,1,Died
3rd,female,Child,1,Died
2nd,male,Adult,1,Survived
1st,male,Adult,1,Died
1st,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,male,Unknown,1,Survived
3rd,male,Adult,1,Died
2nd,male,Child,1,Survived
1st,male,Adult,1,Survived
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
3rd,female,Adult,1,Survived
1st,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
2nd,male,Adult,1,Survived
1st,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Died
3rd,male,Adult,1,Survived
2nd,female,Adult,1,Survived
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
2nd,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Unknown,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Survived
2nd,female,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,female,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Unknown,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,female,Child,1,Survived
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Survived
1st,male,Unknown,1,Died
3rd,female,Child,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Child,1,Died
3rd,male,Unknown,1,Survived
3rd,female,Child,1,Survived
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Survived
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
1st,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
1st,female,Unknown,1,Survived
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Survived
2nd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,female,Adult,1,Died
1st,male,Adult,1,Survived
3rd,female,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Child,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Child,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Child,1,Survived
3rd,male,Unknown,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Unknown,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Survived
1st,female,Adult,1,Survived
1st,male,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,female,Child,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,female,Unknown,1,Survived
2nd,male,Adult,1,Died
3rd,female,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Child,1,Died
2nd,male,Unknown,1,Died
2nd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
1st,male,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
1st,male,Unknown,1,Survived
1st,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Child,1,Survived
3rd,male,Child,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,male,Child,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Survived
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Unknown,1,Died
3rd,female,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Died
3rd,male,Unknown,1,Died
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,female,Child,1,Survived
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
3rd,female,Child,1,Survived
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,male,Child,1,Died
3rd,male,Child,1,Survived
1st,male,Adult,1,Died
3rd,male,Unknown,1,Died
2nd,male,Adult,1,Died
3rd,female,Unknown,1,Died
1st,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
1st,male,Child,1,Survived
3rd,male,Child,1,Survived
3rd,male,Adult,1,Survived
3rd,male,Adult,1,Died
1st,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
3rd,female,Child,1,Died
3rd,male,Adult,1,Died
1st,male,Unknown,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Child,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Survived
1st,male,Adult,1,Died
3rd,female,Adult,1,Survived
3rd,male,Child,1,Died
3rd,male,Unknown,1,Died
3rd,male,Unknown,1,Died
2nd,male,Child,1,Survived
3rd,male,Unknown,1,Survived
1st,female,Adult,1,Survived
3rd,female,Adult,1,Survived
2nd,male,Child,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Survived
1st,male,Unknown,1,Survived
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Unknown,1,Survived
3rd,male,Child,1,Died
3rd,male,Adult,1,Died
3rd,female,Child,1,Died
1st,female,Adult,1,Survived
2nd,female,Adult,1,Died
3rd,female,Adult,1,Survived
1st,female,Adult,1,Survived
1st,male,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Unknown,1,Died
3rd,male,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Died
2nd,male,Adult,1,Died
2nd,female,Adult,1,Survived
2nd,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Unknown,1,Died
3rd,male,Child,1,Survived
3rd,male,Adult,1,Died
1st,female,Adult,1,Survived
1st,male,Adult,1,Died
3rd,male,Adult,1,Died
2nd,female,Adult,1,Survived
3rd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,male,Unknown,1,Died
1st,female,Adult,1,Survived
2nd,female,Adult,1,Survived
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
3rd,male,Adult,1,Died
3rd,female,Adult,1,Died
2nd,male,Adult,1,Died
1st,female,Adult,1,Survived
3rd,female,Unknown,1,Died
1st,male,Adult,1,Survived
3rd,male,Adult,1,Died
